"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"10/04/2025","123.928","126.355","-1,13","124.895","127.797","n/d"
"09/04/2025","123.928","127.796","2,26","127.796","127.796","n/d"
"08/04/2025","127.229","124.976","-0,49","124.426","127.652","n/d"
"07/04/2025","127.229","125.588","-1,31","123.876","128.411","n/d"
"04/04/2025","131.139","127.256","-2,96","126.466","131.139","n/d"
"03/04/2025","131.185","131.141","-0,04","130.182","132.552","n/d"
"02/04/2025","130.267","131.190","0,03","130.393","131.424","n/d"
"01/04/2025","131.900","131.147","0,68","130.081","131.982","n/d"
"31/03/2025","131.900","130.260","-1,25","130.115","131.901","n/d"
"28/03/2025","132.522","131.902","-0,94","131.315","133.143","n/d"
"27/03/2025","132.522","133.149","0,47","132.479","133.904","n/d"
"26/03/2025","131.327","132.520","0,34","132.068","132.984","n/d"
"25/03/2025","132.344","132.068","0,57","131.325","133.471","n/d"
"24/03/2025","132.344","131.321","-0,77","130.992","132.424","n/d"
"21/03/2025","132.505","132.345","0,26","131.776","132.588","n/d"
"20/03/2025","131.476","132.008","-0,38","131.813","132.713","n/d"
"19/03/2025","130.832","132.508","0,79","131.451","132.984","n/d"
"18/03/2025","128.959","131.475","0,49","130.722","131.834","n/d"
"17/03/2025","128.959","130.834","1,46","128.957","131.313","n/d"
"14/03/2025","123.863","128.957","2,64","125.647","129.194","n/d"
"13/03/2025","123.507","125.637","1,43","123.590","125.774","n/d"
"12/03/2025","124.519","123.866","0,29","122.969","124.048","n/d"
"11/03/2025","125.031","123.507","-0,81","122.636","124.625","n/d"
"10/03/2025","125.031","124.519","-0,41","123.471","125.031","n/d"
"07/03/2025","123.357","125.035","1,36","122.530","125.822","n/d"
"06/03/2025","122.799","123.358","0,25","122.681","124.112","n/d"
"05/03/2025","122.799","123.047","0,20","122.747","123.364","n/d"
"28/02/2025","124.768","122.799","-1,60","122.659","124.916","n/d"
"27/02/2025","125.980","124.799","0,02","124.352","125.497","n/d"
"26/02/2025","125.401","124.769","-0,96","124.732","126.563","n/d"
"25/02/2025","127.129","125.980","0,46","125.382","126.718","n/d"
"24/02/2025","127.129","125.401","-1,36","125.162","127.275","n/d"
"21/02/2025","127.601","127.128","-0,37","126.483","127.654","n/d"
"20/02/2025","128.528","127.601","0,23","127.063","127.871","n/d"
"19/02/2025","128.553","127.309","-0,95","127.028","128.528","n/d"
"18/02/2025","128.229","128.532","-0,02","128.012","129.294","n/d"
"17/02/2025","128.229","128.552","0,26","128.229","129.534","n/d"
"14/02/2025","124.372","128.219","2,70","124.849","128.482","n/d"
"13/02/2025","126.513","124.850","0,38","123.778","124.853","n/d"
"12/02/2025","126.513","124.380","-1,69","124.116","126.513","n/d"
"11/02/2025","124.619","126.522","0,76","125.570","126.886","n/d"
"10/02/2025","124.619","125.572","0,76","124.619","126.386","n/d"
"07/02/2025","126.219","124.619","-1,27","124.320","126.524","n/d"
"06/02/2025","125.146","126.225","0,55","125.249","126.399","n/d"
"05/02/2025","125.964","125.534","0,31","124.637","125.846","n/d"
"04/02/2025","126.135","125.147","-0,65","124.694","125.964","n/d"
"03/02/2025","126.135","125.970","-0,13","125.566","126.473","n/d"
"31/01/2025","126.914","126.135","-0,61","126.057","127.532","n/d"
"30/01/2025","124.056","126.913","2,82","123.432","127.169","n/d"
"29/01/2025","124.861","123.432","-0,50","123.278","124.767","n/d"